sujeto;predicado;objeto;confianza;frase
"conic_sections";"can";"can describe by set_of_points_in_the_coordinate_plane";"1.0";"conic_sections can also be described by a set_of_points_in_the_coordinate_plane."
"graph_of_any_quadratic_equation_in_two_variables";"be";"conic_section";"1.0";"Later in this chapter, we will see that the graph_of_any_quadratic_equation_in_two_variables is a conic_section."
"signs_of_the_equations_and_the_coefficients_of_the_variable_terms";"determine";"shape";"1.0";"The signs_of_the_equations_and_the_coefficients_of_the_variable_terms determine the shape."
"section";"focus on";"four variations_of_the_standard_form_of_the_equation_for_the_ellipse";"1.0";"This section focuses on the four variations_of_the_standard_form_of_the_equation_for_the_ellipse."
"set";"be in";"plane that sum of they distance from two fixed_points constant";"1.0";"An ellipse is the set of all points (x,y)(x,y) in a plane such that the sum of their distances from two fixed_points is a constant."
"fixed_point";"be call";"plural";"1.0";"Each fixed_point is called a focus (plural: foci)."
"fixed_point";"be call";"focus";"1.0";"Each fixed_point is called a focus (plural: foci)."
"fixed_point";"be";"call";"0.061";"Each fixed_point is called a focus (plural: foci)."
"thumbtack";"form";"foci_of_the_ellipse";"1.0";"Place the thumbtacks in the cardboard to form the foci_of_the_ellipse."
"length_of_the_string";"represent";"constant in definition";"0.82";"Cut a piece_of_string longer than the distance_between_the_two_thumbtacks (the length_of_the_string represents the constant in the definition)."
"length_of_the_string";"represent";"constant";"0.82";"Cut a piece_of_string longer than the distance_between_the_two_thumbtacks (the length_of_the_string represents the constant in the definition)."
"cardboard";"form";"focus";"1.0";"Place the thumbtacks in the cardboard to form the foci of the ellipse."
"cardboard";"form";"focus of ellipse";"1.0";"Place the thumbtacks in the cardboard to form the foci of the ellipse."
"curve";"be with";"pencil";"1.0";"Tack each end of the string to the cardboard, and trace a curve with a pencil held taut against the string."
