"sujeto";"predicado";"objeto";"confianza";"frase"
"sign";"determine";"shape";"1.0";"The signs of the equations and the coefficients of the variable terms determine the shape."
"coefficient";"determine";"shape";"1.0";"The signs of the equations and the coefficients of the variable terms determine the shape."
"shape";"sign of";"equation";"0.333";"The signs of the equations and the coefficients of the variable terms determine the shape."
"section";"focus on";"four variation of standard form of equation";"1.0";"This section focuses on the four variations of the standard form of the equation for the ellipse."
"section";"focus on";"four variation of form";"1.0";"This section focuses on the four variations of the standard form of the equation for the ellipse."
"section";"focus on";"four variation of form of equation for ellipse";"1.0";"This section focuses on the four variations of the standard form of the equation for the ellipse."
"section";"focus on";"four variation";"1.0";"This section focuses on the four variations of the standard form of the equation for the ellipse."
"section";"focus on";"four variation of standard form of equation for ellipse";"1.0";"This section focuses on the four variations of the standard form of the equation for the ellipse."
"section";"focus on";"four variation of standard form";"1.0";"This section focuses on the four variations of the standard form of the equation for the ellipse."
"section";"focus on";"four variation of form of equation";"1.0";"This section focuses on the four variations of the standard form of the equation for the ellipse."
"set";"be in";"plane that sum of they distance from two fix point constant";"1.0";"An ellipse is the set of all points (x,y)(x,y) in a plane such that the sum of their distances from two fixed points is a constant."
"sum";"be";"constant";"0.548";"An ellipse is the set of all points (x,y)(x,y) in a plane such that the sum of their distances from two fixed points is a constant."
"fix point";"be";"call";"0.061";"Each fixed point is called a focus (plural: foci)."
"fix point";"be call";"focus";"1.0";"Each fixed point is called a focus (plural: foci)."
"fix point";"be call";"plural";"1.0";"Each fixed point is called a focus (plural: foci)."
"ellipse two thumbtack";"use";"piece of cardboard";"0.333";"We can draw an ellipse using a piece of cardboard, two thumbtacks, a pencil, and string."
"we";"can draw";"ellipse";"1.0";"We can draw an ellipse using a piece of cardboard, two thumbtacks, a pencil, and string."
"two thumbtack";"ellipse";"pencil";"0.333";"We can draw an ellipse using a piece of cardboard, two thumbtacks, a pencil, and string."
"we";"can draw";"two thumbtack";"1.0";"We can draw an ellipse using a piece of cardboard, two thumbtacks, a pencil, and string."
"ellipse two thumbtack";"use";"piece";"0.333";"We can draw an ellipse using a piece of cardboard, two thumbtacks, a pencil, and string."
"two thumbtack";"ellipse";"string";"0.333";"We can draw an ellipse using a piece of cardboard, two thumbtacks, a pencil, and string."
"thumbtack";"form";"focus";"1.0";"Place the thumbtacks in the cardboard to form the foci of the ellipse."
"thumbtack";"be in";"cardboard";"1.0";"Place the thumbtacks in the cardboard to form the foci of the ellipse."
"thumbtack";"form";"focus of ellipse";"1.0";"Place the thumbtacks in the cardboard to form the foci of the ellipse."
"result";"be";"ellipse";"1.0";"The result is an ellipse."
"conic sections";"can also describe by";"set of points in the coordinate plane";"1.0";"conic_sections can also be described by a set_of_points_in_the_coordinate_plane."
"conic sections";"can describe by";"set of points in the coordinate plane";"1.0";"conic_sections can also be described by a set_of_points_in_the_coordinate_plane."
"graph of any quadratic equation in two variables";"be";"conic section";"1.0";"Later in this chapter, we will see that the graph_of_any_quadratic_equation_in_two_variables is a conic_section."
"signs of the equations and the coefficients of the variable terms";"determine";"shape";"1.0";"The signs_of_the_equations_and_the_coefficients_of_the_variable_terms determine the shape."
"section";"focus on";"four variations of the standard form of the equation for the ellipse";"1.0";"This section focuses on the four variations_of_the_standard_form_of_the_equation_for_the_ellipse."
"set";"be in";"plane that sum of they distance from two fixed points constant";"1.0";"An ellipse is the set of all points (x,y)(x,y) in a plane such that the sum of their distances from two fixed_points is a constant."
"fixed point";"be call";"plural";"1.0";"Each fixed_point is called a focus (plural: foci)."
"fixed point";"be call";"focus";"1.0";"Each fixed_point is called a focus (plural: foci)."
"fixed point";"be";"call";"0.061";"Each fixed_point is called a focus (plural: foci)."
"thumbtack";"form";"foci of the ellipse";"1.0";"Place the thumbtacks in the cardboard to form the foci_of_the_ellipse."
"length of the string";"represent";"constant in definition";"0.82";"Cut a piece_of_string longer than the distance_between_the_two_thumbtacks (the length_of_the_string represents the constant in the definition)."
"length of the string";"represent";"constant";"0.82";"Cut a piece_of_string longer than the distance_between_the_two_thumbtacks (the length_of_the_string represents the constant in the definition)."
